RTTP and TTRP Combination,Average Food Value
"(0.0, 0.0)",0.5928518430073041
"(0.0, 0.1)",0.5456110223191861
"(0.0, 0.2)",0.5032954279482408
"(0.0, 0.30000000000000004)",0.5475294583998168
"(0.0, 0.4)",0.5893848631143921
"(0.0, 0.5)",0.5391163741153053
"(0.0, 0.6000000000000001)",0.6320957042350938
"(0.0, 0.7000000000000001)",0.47598098933699823
"(0.0, 0.8)",0.5689989717329818
"(0.0, 0.9)",0.6152685824224736
"(0.0, 1.0)",0.5366399147381684
"(0.1, 0.0)",1.3525850987640582
"(0.1, 0.1)",0.6672628373675226
"(0.1, 0.2)",0.5684628075834495
"(0.1, 0.30000000000000004)",0.5928142971780648
"(0.1, 0.4)",0.5985131562669092
"(0.1, 0.5)",0.6202445182627446
"(0.1, 0.6000000000000001)",0.6045596173830596
"(0.1, 0.7000000000000001)",0.5596012398656907
"(0.1, 0.8)",0.5285261305306026
"(0.1, 0.9)",0.5233236699746775
"(0.1, 1.0)",0.5139158784216203
"(0.2, 0.0)",1.4376520318525894
"(0.2, 0.1)",0.8327280736715821
"(0.2, 0.2)",0.7541081940795252
"(0.2, 0.30000000000000004)",0.7678063815492266
"(0.2, 0.4)",0.7228906734530091
"(0.2, 0.5)",0.7315686342970493
"(0.2, 0.6000000000000001)",0.7272810951610272
"(0.2, 0.7000000000000001)",0.6747046806703444
"(0.2, 0.8)",0.665260398095251
"(0.2, 0.9)",0.7183644085013827
"(0.2, 1.0)",0.6845832183735463
"(0.30000000000000004, 0.0)",1.3359330275724386
"(0.30000000000000004, 0.1)",1.1006068833720406
"(0.30000000000000004, 0.2)",0.9066306008842411
"(0.30000000000000004, 0.30000000000000004)",0.9081623790075951
"(0.30000000000000004, 0.4)",0.8653483419985877
"(0.30000000000000004, 0.5)",0.8420819909241952
"(0.30000000000000004, 0.6000000000000001)",0.8756419375568025
"(0.30000000000000004, 0.7000000000000001)",0.8629779537504451
"(0.30000000000000004, 0.8)",0.8372592765320074
"(0.30000000000000004, 0.9)",0.8329145616277006
"(0.30000000000000004, 1.0)",0.8416716763583563
"(0.4, 0.0)",1.4062686440067214
"(0.4, 0.1)",1.1895129904946375
"(0.4, 0.2)",1.0742083346040538
"(0.4, 0.30000000000000004)",0.9549513999645018
"(0.4, 0.4)",1.055241202077678
